InvoiceNo,Quantity,UnitPrice,CustomerID,TotalPrice,Year,Month,Day,Weekday,Cluster
5213,67,131.91172688332108,1074,8838.085701182512,2012,6,14,6,3
2673,62,102.4496795304669,1090,6351.880130888948,2012,11,10,0,3
7708,3,263.4525925347523,1097,790.3577776042569,2012,11,3,1,3
8982,18,33.45461037600094,1081,602.1829867680169,2012,4,14,1,3
3100,25,200.2660856306664,1026,5006.65214076666,2011,10,5,5,3
4748,20,333.4512170988879,1067,6669.024341977758,2011,8,17,4,3
4173,58,483.8634756284336,1016,28064.08158644915,2010,5,7,2,3
2815,93,213.401070459987,1069,19846.299552778797,2011,8,1,1,3
4841,86,100.911746263246,1010,8678.410178639157,2011,9,24,0,3
9016,50,408.8638392830194,1004,20443.19196415097,2011,4,11,4,3
8011,79,372.3555629054477,1057,29416.089469530365,2012,1,28,2,3
5493,10,429.9922402141672,1081,4299.922402141672,2011,10,6,4,3
1674,21,108.14464504390315,1056,2271.0375459219667,2010,7,16,0,3
9088,29,203.0112657290677,1088,5887.326706142963,2011,7,27,1,3
9578,96,490.7956644237957,1073,47116.38378468439,2012,5,14,1,3
3158,10,79.86311756841037,1079,798.6311756841037,2011,5,17,3,3
3661,13,336.05395875856345,1073,4368.701463861325,2010,1,15,3,3
3064,47,119.35504631208477,1073,5609.687176667983,2011,3,14,5,3
4253,23,250.5793441349896,1099,5763.32491510476,2010,1,7,5,3
5979,50,400.4543132520483,1084,20022.71566260241,2012,7,10,5,3
8703,87,244.8044402253537,1013,21297.98629960577,2010,5,19,4,3
9931,95,402.9353649626431,1071,38278.85967145109,2010,12,7,4,3
2401,4,213.7411178147326,1000,854.9644712589304,2012,4,15,2,3
4259,67,499.6771120051464,1015,33478.366504344805,2010,7,27,5,3
4923,85,218.47828887588489,1025,18570.65455445021,2011,9,24,1,3
5214,53,75.54035984027539,1048,4003.639071534596,2011,6,26,5,3
4227,2,201.5328883089752,1041,403.0657766179504,2010,9,14,1,3
3745,68,371.5539991364728,1069,25265.671941280158,2011,6,15,5,3
7091,65,424.1209411215556,1065,27567.86117290112,2011,10,19,3,3
4866,79,230.59154628895493,1052,18216.73215682744,2012,9,21,0,3
6818,57,297.6439436881614,1008,16965.7047902252,2010,6,26,0,3
3222,97,422.6001438453188,1068,40992.21395299592,2011,9,16,5,3
3792,70,406.9595438191616,1039,28487.16806734131,2010,3,2,3,3
5063,7,329.20422877520525,1055,2304.429601426437,2010,5,2,4,3
2524,19,407.6985250211766,1004,7746.271975402355,2011,11,1,5,3
9224,44,288.3794684259499,1055,12688.696610741794,2012,5,16,6,3
7198,63,3.3194362937150386,1071,209.12448650404744,2012,10,19,5,3
5025,65,21.592125416709376,1004,1403.4881520861095,2010,8,4,6,3
3566,39,489.92439121985336,1068,19107.05125757428,2012,11,3,6,3
3803,83,73.3510289593499,1051,6088.135403626042,2011,11,11,1,3
4709,26,202.85368800290792,1080,5274.195888075606,2011,7,24,1,3
7155,44,466.971826229974,1072,20546.76035411885,2012,2,17,5,3
1719,12,98.32470288179168,1097,1179.8964345815,2012,11,5,1,3
7516,22,422.05188088878384,1032,9285.141379553244,2010,2,23,0,3
5579,77,409.3155165116356,1021,31517.294771395944,2012,7,9,4,3
1972,92,493.1784976211185,1084,45372.4217811429,2010,10,1,6,3
4718,14,141.559234990436,1014,1981.829289866104,2011,12,25,5,3
8395,86,158.34735233469283,1064,13617.872300783583,2012,10,27,0,3
5402,30,451.53612252783546,1070,13546.083675835063,2010,4,9,4,3
5552,44,117.8054505419375,1022,5183.43982384525,2010,6,4,3,3
3207,84,274.40257753656743,1005,23049.816513071662,2010,9,16,4,3
5426,91,353.96513463633704,1083,32210.82725190667,2010,10,15,6,3
7919,38,136.67023838617996,1057,5193.469058674838,2011,11,10,0,3
9835,59,469.26805977693465,1025,27686.815526839146,2012,4,5,1,3
9386,42,333.18307648888623,1011,13993.689212533222,2010,7,16,0,3
9680,52,24.52251482664269,1076,1275.1707709854202,2012,9,6,3,3
3204,63,68.73302809919605,1076,4330.180770249351,2012,1,16,1,3
6345,61,96.20000347569024,1001,5868.200212017105,2011,10,4,0,3
4276,34,123.2337246327314,1031,4189.946637512868,2012,11,22,1,3
2102,39,365.6080076446888,1049,14258.712298142862,2011,2,21,6,3
6243,41,45.37868713297858,1094,1860.526172452122,2011,9,15,3,3
7614,37,175.94674146579112,1060,6510.029434234271,2010,5,3,4,3
9707,65,455.7802783406729,1010,29625.718092143736,2011,4,19,4,3
6223,79,278.77717548216503,1067,22023.39686309104,2010,7,9,6,3
9584,32,133.48278535542931,1033,4271.449131373738,2011,5,5,6,3
1630,8,478.5710919436746,1079,3828.568735549397,2011,1,16,2,3
7683,97,122.91363009237251,1094,11922.622118960137,2012,9,27,1,3
1277,18,452.6447110125537,1088,8147.604798225967,2010,8,3,5,3
1232,45,363.15906713366326,1007,16342.158021014846,2012,3,8,3,3
6690,93,370.5199974424343,1007,34458.359762146385,2011,10,24,0,3
8659,96,382.7047198824064,1097,36739.65310871102,2010,3,14,5,3
1025,33,253.77808671654745,1014,8374.676861646065,2011,3,3,0,3
8468,5,407.4747842753317,1004,2037.3739213766587,2011,7,16,2,3
7410,82,418.2603557784927,1018,34297.3491738364,2012,2,7,0,3
9652,74,180.8828741163824,1073,13385.3326846123,2010,9,9,6,3
4764,36,200.7719145899713,1008,7227.788925238965,2010,4,3,3,3
7599,97,444.4896025509738,1056,43115.49144744447,2010,7,8,3,3
6102,23,262.8399009543326,1053,6045.31772194965,2011,8,28,6,3
8006,40,433.6048044749927,1028,17344.192178999707,2010,5,12,4,3
4483,5,313.75796141714585,1018,1568.7898070857293,2011,8,17,1,3
2994,34,297.1903106177721,1076,10104.470561004253,2011,4,28,1,3
9682,24,16.459495685653078,1045,395.0278964556738,2011,10,14,0,3
2072,17,139.66930452253413,1079,2374.3781768830804,2010,2,16,1,3
7707,95,251.52676580425677,1061,23895.04275140439,2012,3,19,6,3
1215,71,294.0712688952158,1093,20879.06009156032,2011,6,28,2,3
8605,81,315.58682997136634,1059,25562.533227680677,2012,10,4,1,3
3606,92,358.39518968079693,1004,32972.35745063332,2010,6,3,5,3
9350,22,328.4604827145223,1032,7226.130619719491,2010,12,13,6,3
5781,15,424.4397769905044,1082,6366.596654857566,2010,12,9,0,3
4313,15,148.43970110086917,1054,2226.5955165130376,2010,12,13,1,3
8763,25,321.1434228472803,1018,8028.585571182008,2010,7,12,5,3
6939,53,26.528597583939376,1016,1406.015671948787,2012,12,26,3,3
3295,21,240.61484858369192,1087,5052.91182025753,2010,11,21,3,3
6685,66,134.74845000999437,1091,8893.397700659629,2010,4,15,4,3
2696,91,191.0626869990533,1041,17386.704516913855,2010,8,3,6,3
2946,32,177.9767131307146,1021,5695.254820182867,2010,8,3,4,3
3783,21,31.154907899166226,1038,654.2530658824908,2010,11,27,4,3
4644,68,233.8562545749364,1079,15902.225311095674,2011,7,2,4,3
6241,44,497.3200147077851,1098,21882.080647142546,2011,3,26,1,3
7420,83,150.16909236140532,1026,12464.034665996642,2012,3,6,6,3
8557,66,368.3368398624571,1075,24310.23143092217,2010,2,25,6,3
3645,90,274.3463791252974,1045,24691.174121276767,2012,11,16,5,3
7589,98,163.28742496520536,1027,16002.167646590126,2012,7,23,0,3
7353,14,45.71392313581816,1051,639.9949239014543,2010,6,18,1,3
2932,15,108.71309248184096,1064,1630.6963872276149,2010,12,9,0,3
2757,20,391.1449162056317,1038,7822.898324112634,2011,7,3,0,3
6085,34,140.23106853190404,1017,4767.856330084737,2010,2,23,0,3
6637,36,73.00693872351474,1086,2628.2497940465305,2011,4,26,0,3
2116,83,166.31787188987587,1021,13804.383366859698,2012,1,23,3,3
1492,9,292.43743316161743,1067,2631.9368984545567,2012,2,16,5,3
9811,71,352.0281189807096,1010,24993.99644763038,2011,7,4,0,3
8888,30,194.2950536478204,1081,5828.851609434612,2011,5,14,1,3
7474,77,249.57543138209616,1063,19217.308216421403,2010,10,4,0,3
5958,91,228.0034293246973,1070,20748.312068547453,2011,3,28,3,3
3743,63,5.492671611790016,1084,346.038311542771,2011,2,18,1,3
8866,35,198.4046369530683,1056,6944.16229335739,2010,3,18,6,3
8160,13,294.0725852758689,1034,3822.943608586296,2012,4,18,5,3
6451,79,285.4024134914648,1036,22546.79066582572,2011,10,28,2,3
6258,46,375.13401160878914,1049,17256.1645340043,2010,10,27,1,3
9548,56,335.51757930723403,1029,18788.984441205102,2010,5,21,6,3
8186,9,139.1265917609607,1016,1252.1393258486464,2011,8,3,3,3
7102,87,128.56619210792235,1032,11185.258713389245,2012,9,26,5,3
1619,36,232.60675723365364,1015,8373.843260411531,2010,2,7,3,3
1882,3,366.75186419310575,1014,1100.2555925793172,2011,12,13,4,3
9988,98,47.81982598140623,1012,4686.3429461778105,2012,3,7,2,3
4642,19,474.214964935045,1002,9010.084333765855,2011,4,22,0,3
2296,28,272.0334087295094,1023,7616.935444426263,2010,7,13,6,3
9436,23,153.89778907181685,1022,3539.6491486517875,2010,6,24,3,3
3895,7,347.0022242098315,1058,2429.015569468821,2010,6,27,4,3
7593,76,23.318182305307797,1054,1772.1818552033924,2011,10,4,4,3
1929,14,242.7140609757484,1064,3397.996853660477,2010,7,16,5,3
6366,46,243.4988540844407,1031,11200.947287884272,2011,1,25,0,3
9711,15,81.82566716976581,1096,1227.385007546487,2012,8,28,6,3
4212,67,418.8565201549997,1059,28063.38685038498,2012,9,28,6,3
3409,15,398.6092472214468,1029,5979.138708321702,2012,2,15,6,3
9199,51,77.21346483240079,1065,3937.88670645244,2012,1,13,5,3
4423,88,182.54981948812537,1017,16064.384114955032,2010,4,10,1,3
7976,8,51.11434875881308,1058,408.91479007050464,2010,11,10,2,3
8594,69,424.4557696627592,1052,29287.448106730382,2011,2,5,0,3
6158,62,162.3367317705718,1063,10064.877369775451,2012,6,4,5,3
4667,51,220.2188376209687,1029,11231.160718669404,2012,3,19,0,3
6973,63,162.61210306026263,1017,10244.562492796547,2011,9,15,1,3
7236,68,155.70298221601055,1004,10587.802790688718,2011,8,9,1,3
9277,78,373.903824620546,1068,29164.498320402585,2011,7,16,3,3
3468,16,374.0355508557317,1007,5984.568813691708,2011,11,28,1,3
7217,84,259.37629706980414,1008,21787.608953863542,2012,7,4,1,3
4619,24,329.1508577138308,1031,7899.620585131939,2010,7,25,2,3
2636,6,256.31993548162035,1013,1537.919612889722,2012,5,11,5,3
9155,57,15.2660157599178,1012,870.1628983153147,2011,8,17,5,3
4583,31,33.93721013183631,1017,1052.0535140869256,2010,4,21,6,3
5009,6,192.4865441869028,1067,1154.9192651214169,2012,5,1,6,3
4326,99,375.1234329555687,1021,37137.219862601305,2011,3,9,2,3
9148,79,456.6998878390381,1019,36079.29113928401,2010,3,12,2,3
3217,29,15.824444368029557,1014,458.90888667285714,2010,2,23,0,3
5967,67,184.6469962907167,1006,12371.348751478015,2011,5,12,6,3
3369,75,112.66743562208904,1076,8450.057671656677,2010,12,10,2,3
4638,3,407.7874353015655,1097,1223.3623059046963,2012,2,9,2,3
6722,28,423.1381041826659,1029,11847.866917114648,2012,10,21,4,3
5444,74,103.99802497825571,1004,7695.853848390924,2012,4,26,2,3
8618,97,355.7027994640012,1000,34503.17154800812,2010,10,25,0,3
4947,48,366.1462626134129,1059,17575.020605443817,2010,12,20,5,3
2676,80,89.3517906945026,1030,7148.143255560208,2011,1,16,4,3
2196,10,217.4142625871096,1019,2174.142625871096,2011,2,13,6,3
3787,33,310.548564916456,1082,10248.102642243048,2010,11,3,0,3
8432,67,14.00723685936684,1063,938.4848695775784,2012,1,18,0,3
8927,69,202.8913246898955,1063,13999.50140360279,2010,2,4,4,3
4318,12,78.32415824086272,1028,939.8898988903526,2012,4,19,4,3
9858,57,271.4063540593227,1009,15470.162181381394,2011,1,25,4,3
7689,44,421.6158741470164,1028,18551.09846246872,2010,6,13,4,3
3176,13,262.8522153743926,1030,3417.0787998671035,2010,1,28,0,3
4743,24,18.955814508133297,1074,454.9395481951991,2010,3,28,4,3
9792,44,15.798965552798794,1086,695.1544843231469,2012,2,13,1,3
5422,57,303.14606980617054,1029,17279.32597895172,2011,2,12,5,3
4824,96,164.66279770428065,1024,15807.628579610942,2012,4,24,6,3
3451,16,286.7605852324744,1079,4588.16936371959,2011,9,28,2,3
1628,96,82.6549173490778,1057,7934.872065511469,2012,3,1,6,3
8778,21,388.6543140652198,1056,8161.740595369616,2011,12,2,6,3
4696,76,430.4991331610504,1086,32717.934120239825,2012,6,3,6,3
4674,51,444.7235754403619,1062,22680.902347458457,2010,12,22,2,3
4929,21,152.7332198268443,1096,3207.3976163637303,2012,11,21,5,3
3765,60,330.7069484447412,1036,19842.41690668447,2010,10,27,1,3
5369,51,140.24215117799983,1057,7152.349710077991,2010,3,21,5,3
9307,21,381.6156535849777,1027,8013.9287252845315,2010,10,22,0,3
5956,6,61.14197611093546,1026,366.8518566656128,2012,5,13,0,3
1692,73,381.61964074945945,1069,27858.23377471054,2010,9,12,2,3
4162,65,220.42459019410384,1036,14327.598362616747,2012,3,16,3,3
2105,76,427.9191957273285,1005,32521.858875276965,2011,8,14,5,3
4008,58,369.7264991330871,1088,21444.13694971905,2012,6,24,6,3
3161,78,188.883300707546,1076,14732.897455188586,2012,12,14,1,3
9345,6,451.8660534948658,1061,2711.196320969195,2012,8,17,1,3
4699,65,142.38523249837985,1096,9255.04011239469,2011,2,5,2,3
4786,86,483.5273270865257,1032,41583.35012944121,2011,9,6,6,3
5200,34,383.8344885938865,1088,13050.37261219214,2011,1,27,4,3
2913,56,495.3467507843234,1077,27739.418043922116,2010,3,10,5,3
6520,75,27.89840358284029,1039,2092.3802687130224,2012,4,27,3,3
2772,3,137.74398689268827,1040,413.2319606780648,2012,6,22,0,3
3780,42,370.89086400072216,1041,15577.41628803033,2010,11,9,0,3
8423,62,461.20260092393727,1008,28594.56125728411,2010,4,26,0,3
3871,6,15.356637742607022,1017,92.13982645564214,2012,11,7,0,3
1660,6,1.004638691816787,1014,6.027832150900724,2010,2,4,1,3
7242,63,128.86507199886762,1003,8118.49953592866,2010,3,23,1,3
2132,20,426.5365596391491,1033,8530.731192782983,2011,3,7,4,3
1699,21,383.8093979694693,1061,8059.997357358855,2010,6,11,1,3
8470,2,170.79845362225964,1037,341.5969072445193,2010,5,27,4,3
7297,90,2.0036209083724383,1080,180.32588175351944,2012,5,6,6,3
8812,95,277.79816473590984,1070,26390.82564991144,2010,11,16,4,3
5557,90,119.73978025402448,1095,10776.580222862203,2010,4,16,6,3
3179,56,373.058855321422,1022,20891.29589799963,2010,4,24,0,3
9275,96,223.7284825269304,1019,21477.934322585315,2011,9,24,0,3
2422,10,339.6223596007859,1055,3396.2235960078588,2012,7,13,1,3
4180,87,426.3021061142568,1052,37088.283231940346,2011,12,26,6,3
5316,70,268.3441399597331,1001,18784.08979718132,2010,8,12,1,3
7696,23,168.6418148234179,1020,3878.761740938612,2012,4,22,4,3
1614,92,385.00222946160926,1075,35420.20511046805,2012,11,27,2,3
5570,30,133.32843264581774,1041,3999.852979374533,2010,3,2,0,3
1270,78,445.8678892371106,1056,34777.695360494625,2011,1,21,6,3
3468,37,36.64239571973496,1048,1355.768641630193,2010,9,13,3,3
4607,55,417.8988519131638,1090,22984.43685522401,2011,9,1,2,3
4075,96,46.68630790820458,1009,4481.88555918764,2010,2,10,0,3
1289,49,29.012353224498053,1071,1421.6053080004046,2012,4,26,0,3
9120,34,182.26521173673228,1060,6197.017199048898,2012,4,28,1,3
7614,44,478.3181278829392,1020,21045.997626849323,2011,12,10,3,3
4252,22,491.7595410416095,1059,10818.709902915409,2010,1,28,5,3
8415,31,101.83317998211348,1085,3156.8285794455182,2011,12,11,3,3
7771,7,75.17014027537101,1012,526.190981927597,2012,2,9,0,3
1278,21,177.12371244583403,1047,3719.5979613625145,2012,8,4,5,3
1580,16,169.2063335996558,1039,2707.301337594493,2011,6,17,5,3
5958,20,380.0368484862493,1062,7600.736969724986,2011,1,19,4,3
9445,43,222.55551135261635,1075,9569.886988162503,2011,7,10,3,3
5276,44,390.1619092815221,1080,17167.124008386974,2011,11,13,2,3
8997,47,374.6078354154979,1008,17606.568264528403,2011,7,2,4,3
5776,19,289.5769046328357,1056,5501.961188023879,2010,6,9,1,3
1824,48,416.9225377710859,1050,20012.281813012123,2011,11,7,0,3
4832,96,98.62822552980084,1039,9468.30965086088,2011,8,26,0,3
9891,79,81.74343733459614,1075,6457.731549433095,2012,11,10,2,3
6445,69,375.5744789928314,1072,25914.639050505368,2012,12,12,2,3
2380,11,123.15373401549246,1063,1354.691074170417,2010,5,22,5,3
7534,79,2.3943975263719457,1093,189.1574045833837,2011,2,20,1,3
4156,29,456.0681241536245,1069,13225.97560045511,2011,4,11,1,3
5307,45,311.84559195849835,1063,14033.051638132423,2012,11,4,5,3
6634,68,223.0239113059624,1024,15165.625968805443,2012,8,12,5,3
9575,36,363.1425184945099,1027,13073.130665802357,2012,8,12,3,3
6810,48,167.33253482452764,1009,8031.961671577326,2011,12,23,4,3
9533,87,476.8793624906135,1027,41488.50453668337,2011,5,8,0,3
6934,15,35.24152418475804,1092,528.6228627713706,2010,6,20,3,3
4109,44,320.8331471405181,1035,14116.658474182796,2012,9,14,1,3
5082,67,388.86745194777546,1010,26054.11928050096,2012,10,7,2,3
4240,96,235.0938280388612,1020,22569.007491730677,2012,10,3,3,3
7028,74,377.72920917795193,1025,27951.961479168443,2012,10,28,2,3
2849,40,463.5282885414061,1017,18541.131541656243,2012,11,28,5,3
9497,86,372.2529564389629,1067,32013.75425375081,2011,11,25,4,3
3749,14,155.37406670101925,1040,2175.2369338142694,2011,2,28,6,3
7680,63,281.3613409848821,1014,17725.764482047573,2012,5,19,2,3
1205,81,455.890155411952,1022,36927.10258836811,2012,9,14,6,3
8352,85,225.09976501576384,1040,19133.48002633993,2011,3,19,6,3
5591,51,341.16754896294174,1005,17399.544997110028,2011,6,10,0,3
4450,79,233.29184783930737,1070,18430.05597930528,2010,4,12,4,3
8214,58,61.55073431324072,1059,3569.942590167961,2011,4,18,2,3
4811,15,30.240220302261324,1078,453.6033045339199,2010,3,19,3,3
6141,65,476.1847058547149,1051,30952.00588055647,2012,10,24,0,3
9501,88,306.6583449371267,1008,26985.93435446715,2012,1,18,0,3
3708,55,52.803641648123296,1029,2904.200290646781,2012,12,13,1,3
2991,76,428.8618406764492,1043,32593.49989141014,2011,11,17,1,3
9463,10,261.82387511889584,1061,2618.2387511889583,2011,8,21,3,3
4273,42,386.1941240076968,1042,16220.153208323263,2012,5,24,5,3
5538,95,64.25134161708212,1027,6103.877453622801,2012,2,6,1,3
9712,11,453.5483054829634,1093,4989.031360312598,2010,1,16,2,3
4722,16,295.67718440133075,1007,4730.834950421292,2011,1,18,5,3
4551,73,369.3920796937715,1098,26965.62181764532,2011,4,28,1,3
3832,78,16.658464320409635,1050,1299.3602169919516,2010,4,9,0,3
6679,19,158.33714519930257,1098,3008.4057587867487,2012,6,13,3,3
7579,31,134.45526178331045,1089,4168.113115282624,2012,11,4,2,3
1152,73,474.8479026486476,1029,34663.89689335127,2011,7,13,0,3
6754,53,93.4839458712877,1098,4954.649131178248,2011,1,3,0,3
3800,90,353.81881163033216,1010,31843.69304672989,2012,10,4,4,3
6310,8,22.33401533689722,1019,178.67212269517776,2010,2,19,1,3
3610,24,99.64435876142504,1030,2391.464610274201,2010,3,24,6,3
2104,8,169.96007977292203,1033,1359.6806381833762,2010,9,1,5,3
8361,83,397.4584180894961,1011,32989.048701428175,2011,4,1,2,3
5199,48,395.1983134508384,1047,18969.51904564024,2010,6,9,3,3
4854,30,476.34832900983776,1027,14290.449870295131,2011,2,23,3,3
8263,58,458.4669838307755,1066,26591.08506218498,2011,11,25,3,3
2914,86,41.67578292746316,1062,3584.117331761832,2012,2,3,4,3
8365,55,415.1039933502032,1047,22830.71963426117,2012,2,3,2,3
4072,73,226.1356161904684,1041,16507.899981904193,2010,11,18,0,3
1406,62,433.077159274137,1051,26850.78387499649,2010,5,2,5,3
1166,48,45.55383951403415,1004,2186.584296673639,2011,9,11,4,3
1508,4,411.5617816521605,1076,1646.2471266086418,2012,6,9,5,3
2661,37,80.66161698138637,1011,2984.479828311296,2012,9,2,5,3
4664,8,167.58697340460176,1058,1340.695787236814,2011,6,20,1,3
4489,1,15.395351744720813,1064,15.395351744720813,2010,9,27,0,3
1680,92,62.74031600538213,1051,5772.109072495156,2010,5,4,3,3
3524,70,223.41721682077892,1042,15639.205177454529,2011,11,9,1,3
3120,47,409.3508294816007,1082,19239.488985635235,2012,12,14,2,3
6260,75,387.0612159111598,1092,29029.591193336983,2011,1,19,2,3
5357,5,118.4135831263803,1062,592.0679156319015,2011,6,16,6,3
2363,50,76.6935340855712,1049,3834.67670427856,2010,4,26,6,3
3292,24,195.24246802790327,1038,4685.819232669679,2012,9,14,5,3
2538,47,441.7509052592295,1041,20762.292547183784,2010,6,15,6,3
4408,18,46.621112007338574,1088,839.1800161320944,2010,1,18,4,3
8742,84,271.9140911618308,1079,22840.783657593787,2012,6,28,2,3
9752,28,45.31493222211791,1016,1268.8181022193014,2010,3,15,6,3
2903,77,235.63584846095523,1091,18143.960331493552,2011,3,19,3,3
1174,5,64.26896456833015,1042,321.34482284165074,2011,7,9,4,3
3230,30,41.08813056468303,1048,1232.6439169404907,2012,2,21,4,3
5287,1,96.2338171987288,1004,96.2338171987288,2011,9,21,3,3
5160,86,128.37275366501433,1000,11040.056815191232,2011,9,16,2,3
8106,82,138.85642418658097,1066,11386.22678329964,2011,7,23,1,3
4171,46,322.9887056764191,1023,14857.48046111528,2011,9,17,4,3
2567,69,28.43595593581775,1028,1962.0809595714247,2010,11,10,1,3
2151,31,41.32372089277671,1014,1281.035347676078,2011,6,5,1,3
8619,70,95.16437457815428,1003,6661.506220470799,2012,9,9,6,3
7033,91,436.1594715215296,1043,39690.51190845919,2010,10,14,1,3
9560,56,314.6738581055532,1064,17621.736053910976,2011,2,22,5,3
5946,89,365.4544599347898,1078,32525.44693419629,2011,5,28,1,3
9234,93,185.81071562327196,1087,17280.39655296429,2012,11,24,3,3
2907,28,107.39695418593044,1030,3007.1147172060523,2010,6,10,6,3
4490,16,19.94271912049349,1019,319.0835059278958,2011,12,24,0,3
3535,54,244.7792743659742,1009,13218.080815762609,2012,6,1,2,3
5173,53,287.5662011494292,1010,15241.008660919746,2010,11,24,0,3
2293,12,448.60439439447816,1081,5383.2527327337375,2010,4,22,5,3
5769,20,441.164396395748,1097,8823.28792791496,2011,4,20,0,3
5796,82,212.91789407765523,1027,17459.267314367728,2012,5,3,4,3
7871,34,212.3653865727276,1037,7220.423143472738,2012,6,16,0,3
3972,53,81.400325461201,1079,4314.217249443654,2011,12,5,0,3
4922,64,129.46704493345285,1023,8285.89087574098,2011,8,13,3,3
5997,23,462.9061245841248,1038,10646.840865434871,2011,12,5,1,3
8032,27,71.37696945666586,1050,1927.1781753299783,2012,10,23,0,3
1992,17,484.3810738250821,1075,8234.478255026395,2010,1,25,0,3
9112,48,252.86453655738305,1049,12137.497754754386,2011,8,11,5,3
6287,21,228.84678060864871,1006,4805.782392781623,2011,2,17,4,3
3240,50,88.1445519624909,1099,4407.227598124545,2010,11,25,2,3
2476,40,331.10908399075794,1080,13244.363359630315,2010,7,3,4,3
7426,95,230.46291366276168,1067,21893.97679796236,2012,4,22,2,3
1389,3,185.9608708886974,1052,557.8826126660922,2011,8,6,2,3
1999,17,132.9935930740607,1036,2260.891082259032,2012,6,16,2,3
2855,61,34.176914704421115,1096,2084.791796969688,2010,5,20,3,3
9125,50,260.1447301589968,1082,13007.23650794984,2011,10,2,3,3
9850,90,157.14125819625974,1053,14142.713237663376,2012,10,5,1,3
3763,87,354.2247362983833,1089,30817.552057959347,2012,5,19,2,3
4663,6,362.0376560178271,1054,2172.2259361069628,2010,4,20,3,3
5986,28,166.72139875736042,1074,4668.199165206092,2011,3,22,6,3
2481,72,334.8912210998137,1030,24112.167919186588,2012,3,11,3,3
8256,55,130.07894489946764,1064,7154.34196947072,2012,3,23,5,3
4731,58,363.85968939483433,1099,21103.86198490039,2010,7,18,5,3
8262,45,9.022495627065776,1092,406.0123032179599,2011,8,27,6,3
1451,72,76.65277472567108,1088,5518.999780248318,2010,8,3,5,3
4093,19,123.25932229181066,1058,2341.9271235444025,2012,2,12,0,3
1882,29,386.6948080062666,1046,11214.149432181734,2011,3,23,6,3
5408,23,34.12175028911986,1048,784.8002566497568,2010,2,13,2,3
5068,32,94.84051471404996,1017,3034.8964708495982,2011,6,21,4,3
4277,10,179.95342864709184,1002,1799.5342864709185,2011,11,20,5,3
9566,91,5.578322082302538,1017,507.6273094895309,2011,3,20,0,3
8951,49,381.2983667118299,1057,18683.619968879662,2012,6,9,3,3
5690,65,280.4924696863951,1070,18232.010529615683,2011,4,9,3,3
5595,29,450.4390141229886,1091,13062.73140956667,2010,12,26,3,3
5559,59,16.48448523992777,1080,972.5846291557384,2011,10,7,3,3
8291,45,136.4239511993938,1024,6139.077803972721,2011,10,1,4,3
9160,67,365.8945770609144,1017,24514.936663081266,2012,6,1,1,3
1112,51,337.8995603050382,1051,17232.877575556948,2010,3,19,1,3
6131,95,122.28566286174924,1042,11617.137971866176,2011,5,3,2,3
4197,11,298.248179749063,1066,3280.729977239693,2012,8,7,6,3
1139,86,397.0850689007691,1088,34149.315925466144,2012,3,12,6,3
2424,82,17.656970963972753,1006,1447.8716190457658,2011,9,16,5,3
3949,99,359.096570037838,1073,35550.56043374596,2011,9,13,3,3
4168,6,126.7964354918738,1043,760.7786129512428,2011,7,18,2,3
9708,67,473.977792978532,1043,31756.512129561645,2012,8,24,4,3
7043,62,269.57189045919307,1050,16713.457208469972,2011,9,17,2,3
7989,5,17.659705133009282,1082,88.29852566504641,2012,1,27,1,3
8236,9,202.31187877249508,1078,1820.806908952456,2010,7,24,1,3
7261,28,483.1896172515234,1084,13529.309283042654,2011,10,9,6,3
1887,83,365.45612362886254,1020,30332.85826119559,2010,3,14,5,3
4104,92,150.93902283954463,1036,13886.390101238108,2010,6,5,1,3
1049,91,288.05837986261923,1027,26213.31256749835,2010,9,11,2,3
4951,77,299.9515764541785,1031,23096.271386971745,2012,12,20,6,3
4560,38,12.650732230821902,1056,480.7278247712322,2012,10,6,3,3
1018,43,90.23784726336176,1040,3880.227432324556,2012,11,6,0,3
5821,21,276.33669221780167,1053,5803.070536573835,2012,8,24,1,3
7340,91,201.97352668685383,1026,18379.590928503698,2010,2,8,2,3
9058,62,95.82886944556024,1086,5941.389905624735,2012,4,1,0,3
3606,46,386.5616986972208,1073,17781.838140072156,2010,11,9,1,3
8846,70,245.0084454587025,1039,17150.59118210918,2010,5,10,1,3
9643,38,155.67659804105773,1040,5915.710725560194,2012,10,17,4,3
7432,49,81.67699586145723,1069,4002.172797211404,2010,6,3,1,3
4765,75,305.9705180330238,1023,22947.788852476784,2012,7,23,6,3
3438,81,333.46439002802407,1017,27010.61559226995,2010,11,21,0,3
7358,39,335.1290110719705,1073,13070.03143180685,2011,4,22,0,3
9319,71,110.92339278406268,1055,7875.560887668451,2012,4,13,3,3
6941,30,298.0738652039537,1014,8942.21595611861,2010,5,8,6,3
8644,21,452.7978259643553,1097,9508.754345251462,2012,9,20,0,3
5855,1,177.24061278073077,1071,177.24061278073077,2010,9,14,2,3
7547,89,106.1726993882802,1034,9449.370245556938,2012,1,20,2,3
8196,32,386.3026084943602,1026,12361.683471819528,2011,5,8,5,3
6911,8,89.26458713956625,1088,714.11669711653,2011,5,19,5,3
7481,69,127.62061147705109,1002,8805.822191916524,2012,7,13,5,3
3761,30,51.22155276166928,1020,1536.6465828500784,2012,8,6,1,3
5456,8,134.66928372125997,1038,1077.3542697700798,2010,3,4,3,3
